key,value,source,host
site,"","/Users/jbjerke/Documents/Splunk/Product/Instance/web/etc/apps/SplunkAppForWebAnalytics/samples/ms_iis_default.log","WAYNE-Y13R4NAL1"
site,"","/Users/jbjerke/Documents/Splunk/Product/Instance/web/etc/apps/SplunkAppForWebAnalytics/samples/ms_iis_default.log","WAYNE-Y13R4NAL3"
site,"10.64.3.152","/Users/jbjerke/Documents/Splunk/Product/Instance/web/etc/apps/SplunkAppForWebAnalytics/samples/sample_iis_logs2_msiisauto.log","10.64.3.152*"
site,"DEFAULT WEB SITE","/Users/jbjerke/Documents/Splunk/Product/Instance/web/etc/apps/SplunkAppForWebAnalytics/samples/ms_iis_default.log","WAYNE*"
site,apache,"/Users/jbjerke/Documents/Splunk/Product/Instance/web/etc/apps/SplunkAppForWebAnalytics/samples/apache.log","jbjerke-mba13.splunk.local"
site,dsdfdsf,asdasdsad,"WAYNE-Y13R4NAL1asdads"
site,msidefault,"/Users/jbjerke/Documents/Splunk/Product/Instance/web/etc/apps/SplunkAppForWebAnalytics/samples/ms_iis_default.log","jbjerke-mba13.splunk.local"
site,mssiiauto1,"sample_iis_logs1_msiisauto.log","jbjerke-mba13.local"
site,mssiiauto1,"/Users/jbjerke/Documents/Splunk/Product/Instance/web/etc/apps/SplunkAppForWebAnalytics/samples/ms_iis_default.log","jbjerke-mba13.local"
site,"secc4644.hm.com","/Users/jbjerke/Documents/Splunk/Product/Instance/web/etc/apps/SplunkAppForWebAnalytics/samples/sample_iis_logs2_msiisauto.log","secc4644.hm.com"
site,sharepointsite,,"*"
site,sharepointsite,"u_ex190204.log.txt","*"
site,"supplierportal.hm.com","/Users/jbjerke/Documents/Splunk/Product/Instance/web/etc/apps/SplunkAppForWebAnalytics/samples/sample_iis_logs2_msiisauto.log","supplierportal.hm.com"
